title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Alberich,Альберих,Красный,Слабый,60,40,10,5,3,2,слабая,слабая,слабая,"Цветки саженцев роз Альберих обладают глубоким неразбавленным оттенком, распускаются, как правило, в огромных кистях, чем, несомненно, радуют розоводов! Высота куста у этой розы около 50 см, количество цветков на стебле достигает отметки в 10-25 шт, бутоны в диаметре распускаются всего до пары-тройки см. Особое внимание стоит обратить на высокую устойчивость  к болезням. Аромат роза издает легкий, цветет непрерывно весь сезон.",De Ruiter Нидерланды,muskusnye_rozy,yes,alberih
,Букаву,Малиновый,Слабый,150,120,10,5,6,5,сильная,сильная,сильная,"                        Цветет крупными кистями от вишнево-красных до карминно - розовых не махровых цветков с белым центром. Аромат мягкий, умеренный. Цветки прекрасно переносят дождь. Цветение повторное, в течение всего сезона. Куст густой, высотой от 90 до 185 см и такой же ширины. Сорт с очень высокой устойчивостью к заболеваниям. Подходит для живой изгороди, и посадки в миксбордеры. Может расти в полутенистом месте.                    ",Lens Бельгия,muskusnye_rozy,yes,bukavu
,Букет Парфэ,Розовый,Слабый,150,130,,,6,4,сильная,сильная,сильная,"                        Роза Букет Парфэ ( Bouquet Parfait) - современный Гибрид мускусной розы, непрерывно-цветущий кустарник, с характерными для этого сорта крупными соцветиями на концах прочных вертикально растущих побегов. Плотные соцветия шаровидной формы создают идеально стройные букеты цветков, пригодных для срезки. Цветки молочно-белые с изменяющимися оттенками розового по краям и кремового по центру, махровые, показывают желтые тычинки, среднего размера, диаметр цветка 5 см.  Оттенки цветков меняются от погодных условий, на солнце превалируют бело кремовые тона, в прохладную погоду цветки более розового тона. Аромат легкий. Цветение непрерывное, с июня до октября. Куст вертикально растущий, энергичного роста, высотой 125 - 150 см, с очень здоровой листвой. ","Lens, Бельгия, 1989",muskusnye_rozy,yes,buket-parfe
Waterloo,Ватерлоо,Белый,Слабый,125,100,10,5,3,2,слабая,сильная,сильная,"                        Этот гибрид розы мускусной - настоящий подарок для аранжировщиков. Цветет мелкими махровыми белыми цветками, собранными в кисти на концах побегов. Они эффектно контрастируют с красноватыми черешками и темными серо-зелеными листьями. Роза хороша в одиночной посадке благодаря красивой, округлой форме куста, но подходит и для живой изгороди. Срезка соцветий на букеты стимулирует образование новых цветочных побегов.","Lens, Бельгия, 1996",muskusnye_rozy,yes,Waterloo
,Динки,,слабый,120,100,10,5,5,4,сильная,сильная,сильная,"Роза Динки – мускусный гибрид, привлекающий внимание своими яркими цветками фуксиново-розового окраса. Садоводы часто используют его для приусадебных участков в декоративных целях. Роза мускусная Динки впервые была выведена в Бельгии в 2002 году. Она морозоустойчивая. Листья и бутоны не подвержены заболеваниям. Прямостоячий непрерывно цветущий сорт с карминно-розовыми цветками в крупных кистях. Цветки прекрасно выдерживают дождь. Листва очень устойчива к заболеваниям, темно-зеленая, блестящая. Очень долго стоит в срезке. В период цветения куст розы выглядит очень празднично, как будто украшен яркими махровыми шарами.",,muskusnye_rozy,yes,dinki
Sally Holmes,Салли Холмс,Белый,Слабый,150,120,10,5,8,7,средняя,средняя,слабая,"                        В окраске доминируют кремовый и медовый цвета. Они хорошо сочетаются друг с другом и могут по мере старения выцветать до белого цвета. Выцветание не умаляет прелести цветков, окраска не становятся некрасивой по сравнению с первоначальной. Сорт здоровый, выносливый, но в самых холодных регионах ему требуется защита. Легкий приятный прохладный аромат - отдельный цветок почти не пахнет, но все вместе они распространяют ощутимое благоухание. В крупных кистевидных соцветиях насчитывается до 40 бутонов. Растение густо покрыто соцветиями, и, когда оно в полном цвету, не видно ничего, кроме цветков. Цветки в соцветиях распускаются постепенно, поэтому цветение продолжается долго. В конце сезона цветение повторяется. Кусты крупные, сильные, ветви способны удерживать тяжесть многочисленных цветков. Внизу куст выглядит недостаточно облиственным. Листья привлекательные, но они могли бы быть лучшим фоном для цветков, если бы были более темного оттенка. Сорт устойчив к болезням, но в конце сезона может поражаться мучнистой росой. Пригоден для смешанных бордюров, живых изгородей и одиночных посадок.","Holmes, Великобритания, 1976",muskusnye_rozy,yes,salli-kholms
Heavenly Pink,Хевенли Пинк,,Средний ,120,90,10,5,3,2,средняя,сильная,средняя,"Саженцы роз Хевенли Пинк. Прямостоячий непрерывно цветущий мускусный гибрид великолепного качества. Красивые пирамидальные кисти элегантных, ароматных густомахровых нежно-розовых цветочков в форме розеток. Великолепен в срезке. Высота 60-90 см.",,muskusnye_rozy,yes,Hevenli%20pink
,Алден Бизен,Розовый,Слабый,200,120,10,5,3,2,слабая,сильная,сильная,"                        Прямостоячий куст с поникающими концами побегов, легко выпускает новые базальные побеги длиной от 125 до 150 см, быстро нарастает. Крупные пирамидальные кисти простых розовых цветков с возрастом зеленеют. После этого долго не опадают и прекрасно подходят для аранжировок.                    ","Lens, 1996",muskusnye_rozy,yes,alden-bizen
Allevia,Аллевия,,,,,,,,,,,,                       ,,muskusnye_rozy,yes,alleviya
Ballerina,Балерина,Розовый,слабый,70,50,50,40,5,4,средняя,средняя,средняя,"                        Мускусная роза Балерина подходит для выращивания тем садоводам, которые не привыкли удивляться!Интересная плоская форма цветка саженцев этого сорта непременно притянет к себе взоры. Растение имеет ярко-розовый оттенок с белоснежным центром. Бутоны собираются в огромные соцветия по 40-50 штук, все эти многочисленные цветочки издают завораживающий легкий аромат. Эта красота отлично переносит жару и холод, цветет на протяжении всего сезона, а также имеет хорошую устойчивость к заболеваниям. Заказать саженцы роз Балерина  в Москве можно, нажав кнопку ""в корзину""!                    ",,muskusnye_rozy,yes,balerina
,Бафф Бьюти,Желтый,Средний,200,150,6,4,10,8,сильная,сильная,сильная,"                        Гибрид мускусной розы Бафф Бьюти (Buff Beauty) селекции Bentall 1939 - широкий кустарник с нависающими ветвями. Цветы теплого абрикосово желтого цвета, махровые, крупные, размером 8- 10см, собраны в большие соцветия, с легким ощутимым ароматом чайной розы. Цветение повторное, с июня до октября. Куст хорошо сбалансированный, с выгнутыми гладкими стеблями и красивой темно зеленой листвой. Может быть использована как плетистая роза. Высота куста 150-175 см. Посадка на солнце или в полутени. ","Bentall, Бельгия",muskusnye_rozy,yes,baff-byuti
,Блашин Брайд,Белый,Слабый,,350,10,5,4,3,средняя,средняя,сильная,"                        Роза цветет обильно кремово-белыми цветами, собранными в соцветия. Кусты сильнорослые с гибкими побегами. Хорошо зимует. Подходит для беседки, арки, забора и др. опор. Листва плотная, темно-зеленая, здоровая.                    ","John Scarman Германия, 2005",muskusnye_rozy,yes,blashin-brayd
,Гирлянд де Амур,Белый,Сильный,350,300,10,5,4,3,сильная,сильная,сильная,"                        Бутоны в длинных конических кистях подняты высоко над кустом, растущим из одной точки.Типичный гибрид розы мускусной. Цветков очень много. Они полумахровые, чисто-белые, раскрываются до плоских, с пучком желтых тычинок в центре. Цветки душистые, с очень слабым, но приятным ароматом мускуса. Привлекают насекомых. Куст густо облиственный, в том числе у основания. Листья заостренные, вначале светло-зеленые, затем чисто-зеленые, матовые. Эту розу, которая получила много наград, можно также выращивать как плетистую. Очень хороша на арке.",Lens Бельгия,muskusnye_rozy,yes,girlyand-de-amur
,Гранд Дюк Жан,Фиолетовый,Слабый,,120,10,5,5,4,сильная,сильная,сильная,"                        Роза Grand Duc Jean - гибрид Мускусной розы от фирмы Louis Lens N.V. - обильно цветущий шраб с округлыми гроздьями цветков на удлиненных побегах, напоминающими соцветия гортензии. Цветки темные карминно-красные с белым центром и желтыми тычинками, полумахровые, в среднем около 5 см. Аромат мягкий Розы мультифлора, дающий ощущение бодрости. Цветение непрерывное с июня по октябрь, после чего образуются красные плоды шиповника.  Куст компактный с прямыми побегами вертикального роста высотой от 100 до 150 см. в зависимости от высоты обрезки весной. Устойчивость к заболеваниям очень хорошая. Хорошо растет как на солнце, так и в полутени. Морозостойкость до -15°C. Прекрасное дополнение к коллекции роз, которая соответствует современному духу низких эксплуатационных и простых садовых роз. ","Ann Velle Boudolf Бельгия, 2010",muskusnye_rozy,yes,grand-dyuk-zhan
,Корнелия,Розовый,Сильный,160,140,10,5,5,4,средняя,средняя,средняя,"                        Красивая мускусная роза, цветущая некрупными махровыми цветками с волнистыми лепестками,. В начале сезона цветки обычно бледно-розовые с желтым оттенком. Цветение длительное, повторное. Осенью обычно следует еще одна волна обильного цветения, и в холодную погоду цветки приобретаются более персиковые отенки. Аромат легкий или средний. Побеги умеренно колючие, куст фонтанообразный, поэтому розу, особенно в теплом климате, можно использовать и как плетистую.",Pemberton Великобритания,muskusnye_rozy,yes,korneliya
,Лавендер Лесси,Розовый,Сильный,180,160,10,5,8,7,слабая,средняя,средняя,"                        Этот обильно цветущий мускусный гибрид вырастает в чудесную плетистую розу или крупный шраб. Розовые с красным бутоны распускаются в махровые цветки 7-8 см в диаметре с туго закрученными сиренево-розовыми лепестками. Цветки блюдцевидные или плоские, в крупных кистях, с насыщенным ароматом. Великолепно цветет ранним летом, и затем осенью. Листва ярко-зеленая, блестящая. Побеги поникают под тяжестью цветков. Куст достигает 3-5 м при выращивании как плетистой розы, или формирует раскидистый куст 160-180 см высотой. Роза выносит полутень, так что подойдет для посадки к светлой, но не солнечной стене. Устойчивость к болезням хорошая. ",Kordes Германия,muskusnye_rozy,yes,lavender-lessi
,Моцарт,Двухцветный,Слабый,120,100,10,5,4,3,слабая,средняя,средняя," Цветки бело-розовые, крупный белый центр окружен широким вишнево-красным краем, быстро выгорающем до розового, и затем бледнеющего уже более медленно до тех пор, пока цветок не станет практически белым. Цветки появляются в больших кистях по 20-50 шт, и создают великолепный эффект в массе. Общий вид – что-то среднее между Ballerina и Marjorie Fair, но Mozart выделяется несколькими преимуществами – листва гораздо мельче, и не подвержена черной пятнистости. В жарком климате достигает 3 м и может использоваться как плетистая роза.",Lambert,muskusnye_rozy,yes,motsart
,Нэж д’Этэ,Белый,Слабый,150,120,10,5,5,4,сильная,сильная,сильная,"                        Эта роза - не что иное как белый вариант сорта Bouquet Parfait. Обе розы Луиса Ленса цветут пышными соцветиями на верхушках побегов. Цветки в кисти раскрываются почти одновременно, так что получается целый букет роз. Они полумахровые, глубоко-чашевидной формы и снежно-белой окраски. В центре видны золотистые тычинки. Цветки очень хороши в срезке, долго сохраняются и не боятся дождя. ",Lens,muskusnye_rozy,yes,nezh-d-ete
,Претти Пинк,Розовый,Слабый,150,120,10,5,4,3,сильная,сильная,сильная,"                        Цветки простые , светло-розовые с белым центром, в длинных пирамидальных свешивающихся соцветиях. Очень длительное цветение,Аромат нежный. Цветение повторное в течение сезона. Куст очень сильный,побеги свисающие.                    ","Lens, Бельгия",muskusnye_rozy,yes,pretti-pink
,Пуччини,Розовый,Слабый,80,60,10,5,3,2,сильная,сильная,сильная,"                        Гибрид розы мускусной с прямостоячими побегами до 70 см высотой. На верхушках побегов образуются крупные кисти заостреных бутонов, из которых появляются простые розовые цветки с более светлым центром. Новые цветущие побеги вырастают постоянно, но если удалять отцветшие кисти, цветение будет интенсивнее. С августа цветки не удаляют, и вскоре на верхушках побегов появляются очень декоративные круглые красные плоды размером с вишню.                     ","Lens, Бельгия",muskusnye_rozy,yes,puchchini
,Сибелиус,Фиолетовый,Слабый,120,80,10,5,3,2,средняя,сильная,сильная,"                        Кусты Сибелиуса густые, раскидистые метра 1,5-2 в ширину с длинными колючими побегами и морщинистыми темно-зелеными листьями. Цветки очень необычные для мускусных роз - розово-лилового цвета с белыми потеками в диаметре около 2-3 см. Полумахровые пушистые цветы образуют крупные кисти из 5-10 цветков. И листья и цветы источают необыкновенный приятный аромат можжевельника.                    ",Lens,muskusnye_rozy,yes,sibelius
Sourire d'Antan,Сурир Дантан,Розовый,Сильный,100,50,10,5,5,4,средняя,сильная,сильная,"Саженцы роз Сурир Дантан бесподобно красиво цветут и распускают свои чашевидные цветки весь сезон! Бутоны источают сильный сладкий аромат, удерживая Вас возле себя на еще некоторое время. В диаметре цветки этой мускусной розы достигают 5 см. Лепестки густомахровые, эффектные. Растение отлично переживает зимний период, листва продолговатая, темно-зеленая, глянцевая.",,muskusnye_rozy,yes,surir-dantan
